,llm_name,llm_use_mop,component,human_unweighted_cohens_kappa,human_unweighted_krippendorffs_alpha,human_unweighted_fleiss_kappa,human_linear_weighted_cohens_kappa,human_linear_weighted_krippendorffs_alpha,human_linear_weighted_fleiss_kappa,human_ordinal_weighted_cohens_kappa,human_ordinal_weighted_krippendorffs_alpha,human_ordinal_weighted_fleiss_kappa,pairwise_spearman_corr,pairwise_spearman_p_value,llm_unweighted_cohens_kappa,llm_unweighted_krippendorffs_alpha,llm_unweighted_fleiss_kappa,llm_linear_weighted_cohens_kappa,llm_linear_weighted_krippendorffs_alpha,llm_linear_weighted_fleiss_kappa,llm_ordinal_weighted_cohens_kappa,llm_ordinal_weighted_krippendorffs_alpha,llm_ordinal_weighted_fleiss_kappa,human_vs_llm_spearman_corr,human_vs_llm_spearman_p_value,human_vs_llm_pearson_corr,human_vs_llm_pearson_p_value,human_vs_llm_permutation_test_stat,human_vs_llm_permutation_test_p_value,human_consensus_labels,llm_consensus_labels
0,gpt-4o-2024-08-06,no_mop,authenticity_score,0.04807692307692307,0.026809651474530766,0.004691689008042892,0.100642398286938,0.5871313672922251,0.5777479892761394,0.12055335968379434,0.737533512064343,0.73156836461126,inf,inf,,,,,,,,,,0.23102994205402794,0.4074180549789631,0.29566175578837733,0.28466209920075214,0.23102994205402794,0.401,"[4.0, 3.33, 3.67, 3.33, 2.67, 1.67, 2.67, 3.33, 3.0, 4.0, 3.67, 3.0, 4.33, 3.33, 3.0]","[3.0, 4.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0, 4.0, 3.0, 4.0, 3.0, 3.5, 2.0, 2.0]"
1,o1-preview,mop,authenticity_score,0.04807692307692307,0.026809651474530766,0.004691689008042892,0.100642398286938,0.5871313672922251,0.5777479892761394,0.12055335968379434,0.737533512064343,0.73156836461126,0.505490122133479,0.10848157809108602,0.3054518297236744,0.3056900726392252,0.2963075060532688,0.3961038961038956,0.6528450363196121,0.648153753026634,0.4658242389431371,0.7685633575464088,0.7654358353510899,0.2678917120957093,0.33437882692979615,0.5155108667313306,0.04920397760002721,0.2678917120957093,0.3332,"[4.0, 3.33, 3.67, 3.33, 2.67, 1.67, 2.67, 3.33, 3.0, 4.0, 3.67, 3.0, 4.33, 3.33, 3.0]","[3.4, 3.8, 2.8, 3.4, 3.6, 2.0, 4.0, 3.2, 3.2, 3.8, 3.6, 3.0, 3.6, 3.6, 2.6]"
2,gpt-4o-2024-08-06,mop,authenticity_score,0.04807692307692307,0.026809651474530766,0.004691689008042892,0.100642398286938,0.5871313672922251,0.5777479892761394,0.12055335968379434,0.737533512064343,0.73156836461126,0.6054760334109928,0.04589374628155973,0.3146718146718146,0.3183705241307731,0.3091593149974053,0.4440631434454354,0.7407887908666317,0.7372859366891539,0.5250743731406714,0.8569538142189933,0.8550207576543851,0.07818815103233338,0.781800143596029,0.2356972429713386,0.3977380674557903,0.07818815103233338,0.7966,"[4.0, 3.33, 3.67, 3.33, 2.67, 1.67, 2.67, 3.33, 3.0, 4.0, 3.67, 3.0, 4.33, 3.33, 3.0]","[2.8, 4.0, 1.8, 2.9, 3.4, 2.0, 3.1, 2.6, 3.8, 3.8, 3.6, 3.0, 3.0, 2.4, 2.4]"
3,gpt-4o-mini-2024-07-18,no_mop,authenticity_score,0.04807692307692307,0.026809651474530766,0.004691689008042892,0.100642398286938,0.5871313672922251,0.5777479892761394,0.12055335968379434,0.737533512064343,0.73156836461126,inf,inf,,,,,,,,,,0.2765828764544387,0.3183201383916157,0.24657736476321168,0.3756530664208378,0.2765828764544387,0.415,"[4.0, 3.33, 3.67, 3.33, 2.67, 1.67, 2.67, 3.33, 3.0, 4.0, 3.67, 3.0, 4.33, 3.33, 3.0]","[5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
4,gpt-4o-mini-2024-07-18,mop,authenticity_score,0.04807692307692307,0.026809651474530766,0.004691689008042892,0.100642398286938,0.5871313672922251,0.5777479892761394,0.12055335968379434,0.737533512064343,0.73156836461126,0.4998835874719798,0.10243361895377578,0.25547445255474466,0.25296912114014225,0.2428741092636581,0.2837078651685403,0.6264845605700713,0.6214370546318292,0.30987821380243724,0.7509897070467144,0.7476247030878863,0.29369542592494974,0.28802910631922296,0.22445985444801594,0.42125097108022874,0.29369542592494974,0.2912,"[4.0, 3.33, 3.67, 3.33, 2.67, 1.67, 2.67, 3.33, 3.0, 4.0, 3.67, 3.0, 4.33, 3.33, 3.0]","[4.2, 4.0, 3.2, 4.4, 4.0, 3.6, 4.0, 3.6, 4.0, 4.0, 4.2, 3.8, 4.0, 4.0, 4.0]"
5,gpt-4o-2024-08-06,no_mop,empathy_score,-0.014799154334038205,-0.017341040462427886,-0.040462427745664796,0.06804733727810625,0.6661849710982661,0.6585982658959538,0.15309446254071502,0.8346820809248556,0.8309248554913297,inf,inf,,,,,,,,,,0.5695176687649921,0.026681814816731205,0.5625813838438409,0.029021146762767607,0.5695176687649921,0.035,"[3.67, 2.67, 2.67, 2.33, 3.0, 1.67, 3.0, 2.33, 3.33, 3.67, 3.0, 2.67, 4.0, 3.0, 2.33]","[3.0, 4.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0, 3.0, 3.5, 3.0, 2.0]"
6,o1-preview,mop,empathy_score,-0.014799154334038205,-0.017341040462427886,-0.040462427745664796,0.06804733727810625,0.6661849710982661,0.6585982658959538,0.15309446254071502,0.8346820809248556,0.8309248554913297,0.685525725512259,0.009130935750224878,0.42763157894736853,0.4313725490196079,0.42368839427662963,0.5500000000000005,0.8039215686274511,0.8012718600953895,0.6278511404561833,0.8986928104575165,0.8973237943826181,0.6755500257851098,0.005708953347286967,0.7323261731559488,0.0019053995282453996,0.6755500257851098,0.008,"[3.67, 2.67, 2.67, 2.33, 3.0, 1.67, 3.0, 2.33, 3.33, 3.67, 3.0, 2.67, 4.0, 3.0, 2.33]","[3.4, 3.8, 2.6, 3.0, 3.0, 1.8, 3.8, 2.0, 3.6, 3.6, 3.2, 2.2, 3.6, 3.8, 2.0]"
7,gpt-4o-2024-08-06,mop,empathy_score,-0.014799154334038205,-0.017341040462427886,-0.040462427745664796,0.06804733727810625,0.6661849710982661,0.6585982658959538,0.15309446254071502,0.8346820809248556,0.8309248554913297,0.6993817620725945,0.006500309133160212,0.4008124576844958,0.4035519125683062,0.39549180327868877,0.5080174927113703,0.6967213114754099,0.6926229508196722,0.5813148788927335,0.796129326047359,0.7933743169398907,0.5073406626395729,0.053554946406945525,0.5025446968810005,0.05623671873740829,0.5073406626395729,0.051,"[3.67, 2.67, 2.67, 2.33, 3.0, 1.67, 3.0, 2.33, 3.33, 3.67, 3.0, 2.67, 4.0, 3.0, 2.33]","[2.8, 4.0, 2.2, 3.3, 3.4, 2.0, 3.6, 2.6, 3.4, 4.0, 3.6, 2.6, 3.0, 3.2, 2.2]"
8,gpt-4o-mini-2024-07-18,no_mop,empathy_score,-0.014799154334038205,-0.017341040462427886,-0.040462427745664796,0.06804733727810625,0.6661849710982661,0.6585982658959538,0.15309446254071502,0.8346820809248556,0.8309248554913297,inf,inf,,,,,,,,,,0.4882817091598807,0.06479164027222616,0.5258651293033956,0.044070906008802535,0.4882817091598807,0.0744,"[3.67, 2.67, 2.67, 2.33, 3.0, 1.67, 3.0, 2.33, 3.33, 3.67, 3.0, 2.67, 4.0, 3.0, 2.33]","[5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0]"
9,gpt-4o-mini-2024-07-18,mop,empathy_score,-0.014799154334038205,-0.017341040462427886,-0.040462427745664796,0.06804733727810625,0.6661849710982661,0.6585982658959538,0.15309446254071502,0.8346820809248556,0.8309248554913297,0.6674317925443981,0.014698039630169624,0.28668478260869557,0.2919628212137779,0.2823947512301804,0.44385593220339054,0.7639876070712597,0.7607982504100607,0.5510902094912352,0.88199380353563,0.8803991252050302,0.33822875749316456,0.2175546303673069,0.3864492749637332,0.15477711335229324,0.33822875749316456,0.2006,"[3.67, 2.67, 2.67, 2.33, 3.0, 1.67, 3.0, 2.33, 3.33, 3.67, 3.0, 2.67, 4.0, 3.0, 2.33]","[4.2, 3.8, 3.4, 4.6, 3.6, 2.4, 3.8, 2.8, 3.2, 4.6, 4.4, 3.8, 3.0, 3.4, 2.8]"
10,gpt-4o-2024-08-06,no_mop,engagement_score,-0.00790513833992105,0.001335113484646162,-0.02136181575433904,0.17293233082706633,0.6769025367156212,0.6695594125500666,0.31005110732538266,0.8413885180240324,0.8377837116154875,inf,inf,,,,,,,,,,0.27014773361958444,0.33016702262281405,0.3162477181729633,0.2508267810952809,0.27014773361958444,0.3286,"[4.33, 3.0, 2.67, 3.33, 3.67, 1.67, 4.0, 3.0, 2.0, 3.33, 4.0, 3.67, 4.67, 4.0, 3.0]","[3.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0]"
11,o1-preview,mop,engagement_score,-0.00790513833992105,0.001335113484646162,-0.02136181575433904,0.17293233082706633,0.6769025367156212,0.6695594125500666,0.31005110732538266,0.8413885180240324,0.8377837116154875,0.6264428369353225,0.06736219094606359,0.4352941176470587,0.4347549331635899,0.42711648631444926,0.4834710743801664,0.8037343517929137,0.8010821133036287,0.5232273838630812,0.8979418629323149,0.8965626989178869,0.7032930189602816,0.0034427118233844485,0.6652351818796857,0.0068023055865080555,0.7032930189602816,0.0044,"[4.33, 3.0, 2.67, 3.33, 3.67, 1.67, 4.0, 3.0, 2.0, 3.33, 4.0, 3.67, 4.67, 4.0, 3.0]","[4.2, 4.0, 3.6, 4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.4, 3.2, 3.2, 4.4, 4.0, 2.8]"
12,gpt-4o-2024-08-06,mop,engagement_score,-0.00790513833992105,0.001335113484646162,-0.02136181575433904,0.17293233082706633,0.6769025367156212,0.6695594125500666,0.31005110732538266,0.8413885180240324,0.8377837116154875,0.6635494704851224,0.023329615552880042,0.5286059629331183,0.5317975340687864,0.5254704737183648,0.6137873754152818,0.7518927103612372,0.7485399091499025,0.6509718039967152,0.8299264546831064,0.8276281635301755,0.5799985141746011,0.02342156259008122,0.5761254905003809,0.024588866317553512,0.5799985141746011,0.0248,"[4.33, 3.0, 2.67, 3.33, 3.67, 1.67, 4.0, 3.0, 2.0, 3.33, 4.0, 3.67, 4.67, 4.0, 3.0]","[3.2, 4.0, 3.0, 4.2, 4.2, 3.0, 3.7, 3.2, 3.0, 4.0, 3.8, 3.2, 4.2, 4.0, 3.2]"
13,gpt-4o-mini-2024-07-18,no_mop,engagement_score,-0.00790513833992105,0.001335113484646162,-0.02136181575433904,0.17293233082706633,0.6769025367156212,0.6695594125500666,0.31005110732538266,0.8413885180240324,0.8377837116154875,inf,inf,,,,,,,,,,0.2496751135729437,0.36948949549886345,0.30788343687034747,0.26426248697237553,0.2496751135729437,0.3722,"[4.33, 3.0, 2.67, 3.33, 3.67, 1.67, 4.0, 3.0, 2.0, 3.33, 4.0, 3.67, 4.67, 4.0, 3.0]","[4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0]"
14,gpt-4o-mini-2024-07-18,mop,engagement_score,-0.00790513833992105,0.001335113484646162,-0.02136181575433904,0.17293233082706633,0.6769025367156212,0.6695594125500666,0.31005110732538266,0.8413885180240324,0.8377837116154875,0.4999767674502126,0.08850990495715877,0.319781078967944,0.3260050251256283,0.3168969849246231,0.39075630252100824,0.6630025125628138,0.6584484924623113,0.4483195941661392,0.7753350083752095,0.7722989949748746,0.7140999320630279,0.0027847424587242706,0.7704813490584941,0.0007755703734976219,0.7140999320630279,0.004,"[4.33, 3.0, 2.67, 3.33, 3.67, 1.67, 4.0, 3.0, 2.0, 3.33, 4.0, 3.67, 4.67, 4.0, 3.0]","[4.4, 4.4, 4.4, 5.0, 4.6, 3.6, 4.4, 3.8, 3.4, 4.0, 5.0, 4.4, 5.0, 4.6, 4.0]"
15,gpt-4o-2024-08-06,no_mop,emotion_provoking_score,0.07554671968190854,0.06703146374829004,0.04582763337893302,0.10447761194029917,0.6388508891928867,0.6306429548563613,0.10579345088161235,0.7863201094391244,0.7814637482900136,inf,inf,,,,,,,,,,0.5787306087414487,0.023798954021771505,0.605304290249016,0.016799000956952338,0.5787306087414487,0.028,"[3.67, 3.33, 2.67, 3.0, 3.0, 1.67, 3.0, 3.0, 3.0, 3.0, 3.67, 3.67, 4.33, 3.33, 3.0]","[3.0, 4.0, 3.0, 4.0, 3.0, 2.0, 3.0, 2.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0]"
16,o1-preview,mop,emotion_provoking_score,0.07554671968190854,0.06703146374829004,0.04582763337893302,0.10447761194029917,0.6388508891928867,0.6306429548563613,0.10579345088161235,0.7863201094391244,0.7814637482900136,0.6192803190330192,0.029432323094682904,0.35471698113207517,0.36090909090909074,0.35227272727272707,0.4714459295261237,0.6748484848484848,0.6704545454545454,0.5500762582613119,0.7794949494949498,0.7765151515151518,0.2774056737264602,0.3168232835674694,0.43665657470131697,0.10366032843033472,0.2774056737264602,0.3128,"[3.67, 3.33, 2.67, 3.0, 3.0, 1.67, 3.0, 3.0, 3.0, 3.0, 3.67, 3.67, 4.33, 3.33, 3.0]","[3.6, 3.8, 3.4, 4.0, 4.0, 2.4, 4.0, 2.4, 3.0, 3.6, 3.6, 3.0, 3.8, 4.0, 2.4]"
17,gpt-4o-2024-08-06,mop,emotion_provoking_score,0.07554671968190854,0.06703146374829004,0.04582763337893302,0.10447761194029917,0.6388508891928867,0.6306429548563613,0.10579345088161235,0.7863201094391244,0.7814637482900136,0.6753639071244173,0.040861735227480184,0.4091223220456115,0.41384102279043905,0.4059199555308505,0.5191313340227506,0.8406058921623125,0.8384519177320735,0.6022952117134944,0.9311006114508059,0.9301695386325739,0.2636555604361128,0.34236909772121726,0.4351099622815444,0.10503005816465641,0.2636555604361128,0.3392,"[3.67, 3.33, 2.67, 3.0, 3.0, 1.67, 3.0, 3.0, 3.0, 3.0, 3.67, 3.67, 4.33, 3.33, 3.0]","[2.8, 4.0, 2.8, 4.5, 3.8, 2.0, 3.8, 2.6, 3.0, 4.0, 3.8, 3.2, 3.6, 3.4, 3.0]"
18,gpt-4o-mini-2024-07-18,no_mop,emotion_provoking_score,0.07554671968190854,0.06703146374829004,0.04582763337893302,0.10447761194029917,0.6388508891928867,0.6306429548563613,0.10579345088161235,0.7863201094391244,0.7814637482900136,inf,inf,,,,,,,,,,0.4809866864772276,0.0695140314937488,0.7027294699180447,0.003480145903143289,0.4809866864772276,0.0778,"[3.67, 3.33, 2.67, 3.0, 3.0, 1.67, 3.0, 3.0, 3.0, 3.0, 3.67, 3.67, 4.33, 3.33, 3.0]","[4.0, 4.0, 4.0, 5.0, 4.0, 2.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0]"
19,gpt-4o-mini-2024-07-18,mop,emotion_provoking_score,0.07554671968190854,0.06703146374829004,0.04582763337893302,0.10447761194029917,0.6388508891928867,0.6306429548563613,0.10579345088161235,0.7863201094391244,0.7814637482900136,0.7000795433769602,0.039536892097573995,0.4654545454545456,0.4708114419147695,0.46366024518388793,0.5617977528089896,0.8128040474800547,0.8102743724460014,0.6298788694481842,0.9010021404942598,0.89966433158202,0.38889614650641957,0.15195763513153537,0.5944444364931493,0.01943589887323463,0.38889614650641957,0.1504,"[3.67, 3.33, 2.67, 3.0, 3.0, 1.67, 3.0, 3.0, 3.0, 3.0, 3.67, 3.67, 4.33, 3.33, 3.0]","[4.0, 4.0, 4.0, 4.8, 4.0, 2.4, 4.0, 2.8, 3.0, 4.2, 4.6, 3.8, 4.4, 3.8, 3.0]"
20,gpt-4o-2024-08-06,no_mop,narrative_complexity_score,0.10714285714285708,0.11170928667563924,0.09152086137281285,0.12832929782082383,0.644683714670256,0.6366083445491254,0.14526484751203925,0.7897711978465681,0.7849932705248993,inf,inf,,,,,,,,,,0.4235564036303513,0.1156630645743697,0.3790671873618651,0.1634940280532379,0.4235564036303513,0.1166,"[2.67, 2.67, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.33, 3.67, 3.33, 2.67, 3.67, 4.0, 2.67]","[3.0, 4.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0]"
21,o1-preview,mop,narrative_complexity_score,0.10714285714285708,0.11170928667563924,0.09152086137281285,0.12832929782082383,0.644683714670256,0.6366083445491254,0.14526484751203925,0.7897711978465681,0.7849932705248993,0.6749045133215168,0.01055921446088845,0.4702216066481995,0.47466592427616927,0.4675668151447661,0.5685840707964606,0.8214550853749074,0.8190423162583521,0.6379781420765027,0.9090107646622124,0.9077811804008908,0.26398612666556315,0.34174175300406806,0.34948924735386777,0.20164862440602688,0.26398612666556315,0.3302,"[2.67, 2.67, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.33, 3.67, 3.33, 2.67, 3.67, 4.0, 2.67]","[3.0, 3.8, 2.2, 3.0, 2.4, 1.6, 3.0, 1.8, 2.2, 3.0, 2.8, 2.4, 2.6, 4.0, 2.0]"
22,gpt-4o-2024-08-06,mop,narrative_complexity_score,0.10714285714285708,0.11170928667563924,0.09152086137281285,0.12832929782082383,0.644683714670256,0.6366083445491254,0.14526484751203925,0.7897711978465681,0.7849932705248993,0.7237776805456931,0.007403948223980388,0.4103448275862067,0.4108938547486032,0.4029329608938546,0.5276595744680856,0.8087988826815644,0.8062150837988831,0.618074986010074,0.9059497206703914,0.904678770949721,0.2865892226900428,0.30039293016870977,0.3187944526522067,0.24682079672944707,0.2865892226900428,0.293,"[2.67, 2.67, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.33, 3.67, 3.33, 2.67, 3.67, 4.0, 2.67]","[2.4, 4.0, 2.0, 3.3, 2.4, 1.8, 2.8, 1.8, 2.0, 3.4, 2.8, 2.2, 3.2, 3.2, 2.2]"
23,gpt-4o-mini-2024-07-18,no_mop,narrative_complexity_score,0.10714285714285708,0.11170928667563924,0.09152086137281285,0.12832929782082383,0.644683714670256,0.6366083445491254,0.14526484751203925,0.7897711978465681,0.7849932705248993,inf,inf,,,,,,,,,,0.42708392418185637,0.1123410481546651,0.4573230403875721,0.08653814660964011,0.42708392418185637,0.1134,"[2.67, 2.67, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.33, 3.67, 3.33, 2.67, 3.67, 4.0, 2.67]","[4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0]"
24,gpt-4o-mini-2024-07-18,mop,narrative_complexity_score,0.10714285714285708,0.11170928667563924,0.09152086137281285,0.12832929782082383,0.644683714670256,0.6366083445491254,0.14526484751203925,0.7897711978465681,0.7849932705248993,0.7869602204948299,0.00516449835784954,0.589041095890411,0.5938316779926816,0.5883429168844745,0.6817743490838963,0.8581634431085557,0.8562467328802927,0.7425373134328365,0.9258581634431086,0.9248562467328802,0.4500009565340308,0.0923565972947843,0.44890942760901,0.09324700680279682,0.4500009565340308,0.0954,"[2.67, 2.67, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.33, 3.67, 3.33, 2.67, 3.67, 4.0, 2.67]","[3.8, 4.4, 3.2, 4.4, 3.0, 2.0, 3.0, 2.2, 3.0, 4.0, 4.0, 3.8, 4.0, 4.8, 3.4]"
